Jul 10 18:23:48 ** DGD 1.6.20 running GurbaLib v0.52.
Jul 10 18:23:48 ** State restored.
Jul 11 11:12:20 ** New telnet connection from <unknown>:0
Jul 11 11:30:01 ** New telnet connection from <unknown>:0
Jul 11 16:34:23 ** New telnet connection from <unknown>:0
Jul 11 16:34:26 ** New telnet connection from <unknown>:0
Jul 11 16:34:56 ** New telnet connection from <unknown>:0
Jul 11 16:34:56 ** New telnet connection from <unknown>:0
Jul 11 16:34:56 ** New telnet connection from <unknown>:0
Jul 12 00:11:21 ** New telnet connection from <unknown>:0
Jul 12 02:40:42 ** New telnet connection from <unknown>:0
Jul 12 02:40:45 ** New telnet connection from <unknown>:0
Jul 12 06:18:57 ** New telnet connection from <unknown>:0
Jul 12 06:36:51 ** New telnet connection from <unknown>:0
Jul 12 07:37:09 ** New telnet connection from <unknown>:0
Jul 12 09:39:58 ** New telnet connection from <unknown>:0
Jul 12 11:35:28 ** New telnet connection from <unknown>:0
Jul 12 18:23:19 ** New telnet connection from <unknown>:0
Jul 12 18:23:19 ** New telnet connection from <unknown>:0
Jul 12 18:23:19 ** New telnet connection from <unknown>:0
Jul 12 20:03:16 ** New telnet connection from <unknown>:0
Jul 13 04:03:17 ** New telnet connection from <unknown>:0
Jul 13 04:03:20 ** New telnet connection from <unknown>:0
Jul 13 11:25:42 ** New telnet connection from <unknown>:0
Jul 13 11:25:45 ** New telnet connection from <unknown>:0
Jul 13 11:47:20 ** New telnet connection from <unknown>:0
Jul 13 12:50:07 ** New telnet connection from <unknown>:0
Jul 13 15:27:38 ** New telnet connection from <unknown>:0
Jul 13 15:27:49 ** New telnet connection from <unknown>:0
Jul 13 15:27:54 ** New telnet connection from <unknown>:0
Jul 13 15:27:59 ** New telnet connection from <unknown>:0
Jul 13 15:28:07 ** New telnet connection from <unknown>:0
Jul 13 15:28:15 ** New telnet connection from <unknown>:0
Jul 13 15:28:20 ** New telnet connection from <unknown>:0
Jul 13 15:28:25 ** New telnet connection from <unknown>:0
Jul 13 15:28:25 ** New telnet connection from <unknown>:0
Jul 13 15:28:30 ** New telnet connection from <unknown>:0
Jul 13 20:00:51 ** New telnet connection from <unknown>:0
Jul 13 20:01:14 ** New telnet connection from <unknown>:0
Jul 14 03:39:11 ** New telnet connection from <unknown>:0
Jul 14 04:08:52 ** New telnet connection from <unknown>:0
Jul 14 04:08:52 ** New telnet connection from <unknown>:0
Jul 14 04:08:52 ** New telnet connection from <unknown>:0
Jul 14 04:08:53 ** New telnet connection from <unknown>:0
Jul 14 04:08:53 ** New telnet connection from <unknown>:0
Jul 14 04:08:53 ** New telnet connection from <unknown>:0
Jul 14 04:08:53 ** New telnet connection from <unknown>:0
Jul 14 04:08:53 ** New telnet connection from <unknown>:0
Jul 14 09:43:35 ** New telnet connection from <unknown>:0
Jul 14 10:41:50 ** New telnet connection from <unknown>:0
Jul 14 10:45:07 ** New telnet connection from <unknown>:0
Jul 14 10:45:10 ** New telnet connection from <unknown>:0
Jul 14 15:41:58 ** New telnet connection from <unknown>:0
Jul 14 15:58:03 ** New telnet connection from <unknown>:0
Jul 14 23:10:09 ** New telnet connection from <unknown>:0
Jul 14 23:10:09 ** New telnet connection from <unknown>:0
Jul 14 23:10:09 ** New telnet connection from <unknown>:0
Jul 15 12:47:40 ** New telnet connection from <unknown>:0
Jul 15 12:47:43 ** New telnet connection from <unknown>:0
Jul 15 12:58:11 ** New telnet connection from <unknown>:0
Jul 15 16:09:33 ** New telnet connection from <unknown>:0
Jul 15 17:16:21 ** New telnet connection from <unknown>:0
Jul 15 17:16:21 ** New telnet connection from <unknown>:0
Jul 15 17:16:21 ** New telnet connection from <unknown>:0
Jul 16 01:01:18 ** New telnet connection from <unknown>:0
Jul 16 03:25:24 ** New telnet connection from <unknown>:0
Jul 16 03:25:24 ** New telnet connection from <unknown>:0
Jul 16 03:25:24 ** New telnet connection from <unknown>:0
Jul 16 06:44:04 ** New telnet connection from <unknown>:0
Jul 16 07:29:53 ** New telnet connection from <unknown>:0
Jul 16 08:13:11 ** New telnet connection from <unknown>:0
Jul 16 08:58:41 ** New telnet connection from <unknown>:0
Jul 16 08:58:44 ** New telnet connection from <unknown>:0
Jul 16 09:43:05 ** New telnet connection from <unknown>:0
Jul 16 09:55:07 ** New telnet connection from <unknown>:0
Jul 16 10:49:41 ** New telnet connection from <unknown>:0
Jul 16 11:38:28 ** New telnet connection from <unknown>:0
Jul 16 12:18:07 ** New telnet connection from <unknown>:0
Jul 16 13:25:38 ** New telnet connection from <unknown>:0
Jul 16 14:16:29 ** New telnet connection from <unknown>:0
Jul 16 15:47:07 ** New telnet connection from <unknown>:0
Jul 16 16:15:10 ** New telnet connection from <unknown>:0
Jul 16 16:42:11 ** New telnet connection from <unknown>:0
Jul 16 17:27:59 ** New telnet connection from <unknown>:0
Jul 16 18:31:42 ** New telnet connection from <unknown>:0
Jul 16 18:36:49 ** New telnet connection from <unknown>:0
Jul 16 19:33:35 ** New telnet connection from <unknown>:0
Jul 16 20:37:11 ** New telnet connection from <unknown>:0
Jul 16 21:20:30 ** New telnet connection from <unknown>:0
Jul 16 22:55:20 ** New telnet connection from <unknown>:0
Jul 16 23:25:25 ** New telnet connection from <unknown>:0
Jul 17 00:32:42 ** New telnet connection from <unknown>:0
Jul 17 01:39:07 ** New telnet connection from <unknown>:0
Jul 17 01:39:07 ** New telnet connection from <unknown>:0
Jul 17 01:39:07 ** New telnet connection from <unknown>:0
Jul 17 01:41:39 ** New telnet connection from <unknown>:0
Jul 17 02:51:16 ** New telnet connection from <unknown>:0
Jul 17 03:29:07 ** New telnet connection from <unknown>:0
Jul 17 04:54:11 ** New telnet connection from <unknown>:0
Jul 17 05:43:33 ** New telnet connection from <unknown>:0
Jul 17 06:44:16 ** New telnet connection from <unknown>:0
Jul 17 07:12:59 ** New telnet connection from <unknown>:0
Jul 17 07:13:01 ** New telnet connection from <unknown>:0
Jul 17 07:13:03 ** New telnet connection from <unknown>:0
Jul 17 07:13:04 ** New telnet connection from <unknown>:0
Jul 17 07:13:06 ** New telnet connection from <unknown>:0
Jul 17 07:13:08 ** New telnet connection from <unknown>:0
Jul 17 07:13:09 ** New telnet connection from <unknown>:0
Jul 17 07:13:11 ** New telnet connection from <unknown>:0
Jul 17 07:13:13 ** New telnet connection from <unknown>:0
Jul 17 07:13:15 ** New telnet connection from <unknown>:0
Jul 17 07:13:16 ** New telnet connection from <unknown>:0
Jul 17 07:13:18 ** New telnet connection from <unknown>:0
Jul 17 07:13:20 ** New telnet connection from <unknown>:0
Jul 17 07:13:21 ** New telnet connection from <unknown>:0
Jul 17 07:45:51 ** New telnet connection from <unknown>:0
Jul 17 08:35:36 ** New telnet connection from <unknown>:0
Jul 17 09:24:25 ** New telnet connection from <unknown>:0
Jul 17 10:42:27 ** New telnet connection from <unknown>:0
Jul 17 11:51:55 ** New telnet connection from <unknown>:0
Jul 17 12:24:32 ** New telnet connection from <unknown>:0
Jul 17 13:53:53 ** New telnet connection from <unknown>:0
Jul 17 14:50:05 ** New telnet connection from <unknown>:0
Jul 17 15:55:25 ** New telnet connection from <unknown>:0
Jul 17 16:15:04 ** New telnet connection from <unknown>:0
Jul 17 17:31:18 ** New telnet connection from <unknown>:0
Jul 17 18:29:36 ** New telnet connection from <unknown>:0
Jul 17 19:26:52 ** New telnet connection from <unknown>:0
Jul 17 20:35:39 ** New telnet connection from <unknown>:0
Jul 17 21:33:35 ** New telnet connection from <unknown>:0
Jul 17 22:45:30 ** New telnet connection from <unknown>:0
Jul 17 23:28:12 ** New telnet connection from <unknown>:0
Jul 17 23:56:57 ** New telnet connection from <unknown>:0
Jul 17 23:57:00 ** New telnet connection from <unknown>:0
Jul 18 00:42:06 ** New telnet connection from <unknown>:0
Jul 18 01:39:02 ** New telnet connection from <unknown>:0
Jul 18 02:36:14 ** New telnet connection from <unknown>:0
Jul 18 03:32:48 ** New telnet connection from <unknown>:0
Jul 18 03:46:13 ** New telnet connection from <unknown>:0
Jul 18 03:46:13 ** New telnet connection from <unknown>:0
Jul 18 03:46:13 ** New telnet connection from <unknown>:0
Jul 18 04:48:44 ** New telnet connection from <unknown>:0
Jul 18 05:31:32 ** New telnet connection from <unknown>:0
Jul 18 05:55:31 ** New telnet connection from <unknown>:0
Jul 18 06:00:41 ** New telnet connection from <unknown>:0
Jul 18 06:00:45 ** New telnet connection from <unknown>:0
Jul 18 06:46:41 ** New telnet connection from <unknown>:0
Jul 18 07:13:31 ** New telnet connection from <unknown>:0
Jul 18 08:27:07 ** New telnet connection from <unknown>:0
Jul 18 09:43:59 ** New telnet connection from <unknown>:0
Jul 18 10:14:15 ** New telnet connection from <unknown>:0
Jul 18 10:14:15 ** New telnet connection from <unknown>:0
Jul 18 10:14:16 ** New telnet connection from <unknown>:0
Jul 18 10:32:20 ** New telnet connection from <unknown>:0
Jul 18 11:24:26 ** New telnet connection from <unknown>:0
Jul 18 12:38:32 ** New telnet connection from <unknown>:0
Jul 18 13:51:44 ** New telnet connection from <unknown>:0
Jul 18 14:50:21 ** New telnet connection from <unknown>:0
Jul 18 15:18:01 ** New telnet connection from <unknown>:0
Jul 18 16:06:40 ** New telnet connection from <unknown>:0
Jul 18 16:06:40 ** New telnet connection from <unknown>:0
Jul 18 16:06:41 ** New telnet connection from <unknown>:0
Jul 18 16:21:58 ** New telnet connection from <unknown>:0
Jul 18 17:34:50 ** New telnet connection from <unknown>:0
Jul 18 18:37:39 ** New telnet connection from <unknown>:0
Jul 18 19:45:10 ** New telnet connection from <unknown>:0
Jul 18 20:55:58 ** New telnet connection from <unknown>:0
Jul 18 21:24:40 ** New telnet connection from <unknown>:0
